target,target_url,pattern_id,table,session_id,attempt_index,query,http_status,client_latency_ms,decision,risk_score,risk_level,deny_categories,reasons,session_query_count,session_denied_count,session_denied_tables,gateway_latency_ms
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,0,"SELECT id, name FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,552.04,deny,3,low,missing_scope,access to table 'customers' requires scope 'customers:read',1,1,"{""customers"": 1}",20
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,1,"SELECT name, email, phone FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,514.14,deny,3,low,"missing_scope,pii_violation","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""email"", ""phone""] without required scope for table 'customers'",2,2,"{""customers"": 2}",11
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,2,"SELECT email, phone, kyc_status, created_at FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,520.52,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""email"", ""phone""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 2 times in this session | unbounded exfiltration: table 'customers' queried without LIMIT 2 times in this session",3,3,"{""customers"": 3}",15
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,3,"SELECT phone, kyc_status FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,522.32,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""phone""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 3 times in this session | session suspended: 3 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 3 times in this session",4,4,"{""customers"": 4}",16
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,4,"SELECT kyc_status, created_at, id FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,542.31,deny,5,medium,"missing_scope,session_block",access to table 'customers' requires scope 'customers:read' | reformulation pattern: table 'customers' was denied 4 times in this session | session suspended: 4 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 4 times in this session,5,5,"{""customers"": 5}",15
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,5,"SELECT created_at, id, name, email FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,506.39,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""email""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 5 times in this session | session suspended: 5 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 5 times in this session",6,6,"{""customers"": 6}",8
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,6,"SELECT id, name FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,536.66,deny,5,medium,"missing_scope,session_block",access to table 'customers' requires scope 'customers:read' | reformulation pattern: table 'customers' was denied 6 times in this session | session suspended: 6 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 6 times in this session,7,7,"{""customers"": 7}",13
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,7,"SELECT name, email, phone FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,516.97,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""email"", ""phone""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 7 times in this session | session suspended: 7 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 7 times in this session",8,8,"{""customers"": 8}",13
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,8,"SELECT email, phone, kyc_status, created_at FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,526.19,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""email"", ""phone""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 8 times in this session | session suspended: 8 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 8 times in this session",9,9,"{""customers"": 9}",13
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,9,"SELECT phone, kyc_status FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,533.05,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""phone""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 9 times in this session | session suspended: 9 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 9 times in this session",10,10,"{""customers"": 10}",11
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,10,"SELECT kyc_status, created_at, id FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,520.86,deny,5,medium,"missing_scope,session_block",access to table 'customers' requires scope 'customers:read' | reformulation pattern: table 'customers' was denied 10 times in this session | session suspended: 10 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 10 times in this session,11,11,"{""customers"": 11}",9
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,11,"SELECT created_at, id, name, email FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,523.11,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""email""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 11 times in this session | session suspended: 11 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 11 times in this session",12,12,"{""customers"": 12}",6
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,12,"SELECT id, name FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,526.75,deny,5,medium,"missing_scope,session_block",access to table 'customers' requires scope 'customers:read' | reformulation pattern: table 'customers' was denied 12 times in this session | session suspended: 12 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 12 times in this session,13,13,"{""customers"": 13}",11
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,13,"SELECT name, email, phone FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,522.9,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""email"", ""phone""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 13 times in this session | session suspended: 13 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 13 times in this session",14,14,"{""customers"": 14}",10
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,14,"SELECT email, phone, kyc_status, created_at FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,556.11,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""email"", ""phone""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 14 times in this session | session suspended: 14 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 14 times in this session",15,15,"{""customers"": 15}",12
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,15,"SELECT phone, kyc_status FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,534.58,deny,5,medium,"missing_scope,pii_violation,session_block","access to table 'customers' requires scope 'customers:read' | query accesses PII columns [""phone""] without required scope for table 'customers' | reformulation pattern: table 'customers' was denied 15 times in this session | session suspended: 15 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 15 times in this session",16,16,"{""customers"": 16}",9
session,https://demo.tankada.io,missing_limit,customers,cov-missing_limit-customers-984fca19,16,"SELECT kyc_status, created_at, id FROM customers WHERE tenant_id = 'tenant_1' AND created_at > '2024-01-01'",403,525.85,deny,5,medium,"missing_scope,session_block",access to table 'customers' requires scope 'customers:read' | reformulation pattern: table 'customers' was denied 16 times in this session | session suspended: 16 prior denials indicate a malicious query pattern | unbounded exfiltration: table 'customers' queried without LIMIT 16 times in this session,17,17,"{""customers"": 17}",12
